,business_id,name,state,address,review_count,burger_total_reviews,burger_average_rating
18,zMa6YoEekpABg1HZnnTZdg,Hillstone,AZ,"2650 E Camelback Rd, Phoenix, AZ 85016",319,62,4.18
19,fVgrpVyp-nPLTac9YIjTug,T Cook's Restaurant,AZ,"Royal Palms Resort and Spa, 5200 E Camelback Rd, Phoenix, AZ 85018",191,7,4.29
20,2gMx4KnXbNtpoCuVCmyo3g,Coco's Restaurant,AZ,"4601 E Thomas Rd, Phoenix, AZ 85018",11,1,2.0
21,adEJYiysRmK8eDqnHP9N6A,Carl's Jr 7091,AZ,"2343 E Bell Rd, Phoenix, AZ 85022",6,3,3.33
22,kvxrjOmicwb2njvXOJsZRw,Ammaccapane's Restaurant & Sports Bar,AZ,"13470 N 7th St, Phoenix, AZ 85022",17,2,5.0
23,UpYva_zhJ6pRGfdTruIYIg,California Pizza Kitchen,AZ,"21001 N. Tatum Blvd, Ste 40-1370, Phoenix, AZ 85050",56,2,2.5
24,QzXFdjIbFRGhzL83goPPLA,Elephant Bar Restaurant,AZ,"7000 E. Mayo Blvd., Suite 27, Phoenix, AZ 85054",96,10,3.4
25,9ocGgALmbzTZWOS7f7SYcA,Old Country Buffet,AZ,"1855 S Stapley Dr, Mesa, AZ 85204",22,1,4.0
26,H3rEy4UWRp6BfoWER4MSCA,Jack In the Box,AZ,"1911 S Power Rd, Mesa, AZ 85206",3,1,3.0
27,g8ewG8o0ubTUTAUDj7UZLQ,Pub'n Grub,AZ,"2815 S Alma School Rd, Ste 101, Mesa, AZ 85210",11,3,4.67
28,JNEeWjajyZPrwMb1cYi_pg,Creative Cafe,AZ,"1420 N Trekell Rd, Casa Grande, AZ 85222",41,7,4.71
29,1Duul3qCnLrNak1Np-iHfw,Pita Jungle,AZ,"1949 W Ray Rd, Chandler, AZ 85224",228,17,3.71
30,78IaYCf9ktUep4UhhjXbTg,The Cheesecake Factory,AZ,"3111 W Chandler Blvd, Suite 2100, Chandler, AZ 85226",137,13,3.46
31,-vHWAsiX0iHWJw-pkqv32Q,Kona Grill,AZ,"3111 W Chandler Blvd, Chandler Fashion Center, Chandler, AZ 85226",134,5,3.2
32,IMGW6y8wHQCfr_6k-YXg_A,BJ's Restaurant & Brewhouse,AZ,"3155 W.Chandler Blvd., Chandler, AZ 85226",174,23,3.96
33,xuEsUDFIWIEnBXvj1EBXlw,Crabby Don's Bar & Grill,AZ,"3861 E Baseline Rd, Ste K139, Gilbert, AZ 85234",28,2,3.5
34,L9UYbtAUOcfTgZFimehlXw,Liberty Market,AZ,"230 N Gilbert Rd, Gilbert, AZ 85234",603,75,4.32
35,68_EJEA9Ibo55EDp3d-nOg,Randy's Restaurant & Ice Cream,AZ,"7904 E Chaparral Rd, Scottsdale, AZ 85250",95,6,4.0
36,kYQxOeJRFYats6cxVFnILw,FOX Sports Grill,AZ,"16203 N Scottsdale Rd, Scottsdale, AZ 85254",30,5,2.8
37,ewZlgc22xN5NNQ1H7U6Y7g,The Cheesecake Factory,AZ,"15230 N Scottsdale Rd, Scottsdale, AZ 85254",121,9,2.78
38,-fsCfTYEnJ4s6yStgBnQig,Farrelli's Cinema Supper Club,AZ,"14202 N Scottsdale Rd, Scottsdale, AZ 85254",46,5,3.8
39,d840tbYJSVn8Fu-n5XRJTw,Handlebar-J,AZ,"7116 E Becker Ln, Scottsdale, AZ 85254",51,1,4.0
40,E5dqlvxPw9Q4XFqOMw_lqw,Dragonfly Cafe,AZ,"10135 E Via Linda, Scottsdale, AZ 85258",70,2,4.0
41,QVR7dsvBeg8xFt9B-vd1BA,K'O Donnell's Sports Bar & Grill,AZ,"14850 N Northsight Blvd, Scottsdale, AZ 85260",136,22,4.36
42,LzNJLEIo4gh-X_rmDkNkNg,Four Peaks Grill & Tap,AZ,"15745 N Hayden Rd, Ste D5-7, Scottsdale, AZ 85260",306,60,4.12
43,n4mfUCDXHsg0GH50HzJpug,Rock Bottom Restaurant & Brewery,AZ,"8668 E Shea Blvd, Scottsdale, AZ 85260",24,4,3.25
44,nzJxNn-tKG7kw_zf7xaYbg,Top of the Rock,AZ,"2000 W Westcourt Way, Tempe, AZ 85282",91,1,2.0
45,Btmq4WdwevpVWTPjhzf1YQ,Teakwood Tavern and Grill - Gilbert,AZ,"151 E Williams Field Rd, Ste 112, Gilbert, AZ 85296",73,17,3.59
46,Tlp5G-slaW4XKRxhgjaCpA,TGI Friday's,AZ,"1559 N Litchfield Rd, Goodyear, AZ 85338",14,1,4.0
47,ifbMLSdB-VWs0wEN6UzBcQ,Wendy's Old Fashioned Hamburgers,AZ,"1178 N Litchfield Rd, Goodyear, AZ 85338",10,3,1.33
48,ADJIoHN3uLx-JalYl3r3Dw,The Cheesecake Factory,AZ,"16134 North 83rd Avenue, Peoria, AZ 85382",94,10,3.7
49,1eJ0pC6UrQVkDSflgrs0Fw,Elephant Bar Restaurant,AZ,"16160 No 83rd Ave, Peoria, AZ 85382",57,7,2.29
50,ltAPE16jLxC-BAnHhcI9CQ,Country Kitchen,AZ,"495 E Wickenburg Way, Wickenburg, AZ 85390",9,1,3.0
51,o-DRmVihuTjS3x9OXSj0tw,Shugrues Hillside Grill,AZ,"671 Hwy 179, Sedona, AZ 86326",88,6,2.83
52,uQ9l0maZVCwD4mRo2rFekQ,Brando's Grill & Bar,NV,"2801 N Green Valley Pkwy, Henderson, NV 89014",8,3,3.0
53,2lCxj6koowOOZ2pCdDUtZQ,Santora's,NV,"4401 E Sunset Rd, Henderson, NV 89014",11,2,3.0
54,2XQzbeFSKuhOiJujH01o-g,Town Center Lounge II,NV,"2992 W Cheyenne Ave, North Las Vegas, NV 89032",6,1,3.0
55,DfNoB509sMpMbu-qvsgvrA,Chili's Grill & Bar,NV,"10080 S Eastern Ave, Anthem, Henderson, NV 89052",38,4,1.5
56,VCy6IWtJ-SR6hY9xrmfF_Q,Black Mountain Grill,NV,"11021 S Eastern Ave, Anthem, Henderson, NV 89052",74,10,3.1
57,Xo7K1LugLnT4pGc5TtwHRA,TGI Friday's,NV,"4570 W Sahara Ave, Westside, Las Vegas, NV 89102",46,8,3.62
58,dH3rJa4JSxmlyAwg8kPLOQ,Denny's,NV,"1826 Las Vegas Blvd S, The Strip, Las Vegas, NV 89104",27,1,4.0
59,a9Z5KKEDaC4Y4MHiRZhzzA,PT's,NV,"5355 S Decatur Blvd, Las Vegas, NV 89118",12,1,4.0
60,NNSDXtjgNUNAgQH99R0yWw,PT's,NV,"3470 E Sunset Rd, Southeast, Las Vegas, NV 89120",11,1,3.0
61,56Ulj9IFRp5Pz8ufJSHXBg,PT's,NV,"8584 W Lake Mead Blvd, Summerlin, Las Vegas, NV 89128",5,1,3.0
62,KJnVuzpveyDrHARVNZaYVg,Hooters Casino Hotel,NV,"115 E Tropicana Ave, Southeast, Las Vegas, NV 89109",690,17,2.29
63,y93QKoRHJmaBL-x_OkNuyg,Draft House Bar & Restaurant,WI,"1010 Enterprise Dr, Verona, WI 53593",22,5,3.0
64,pS5WsUlWOVAPM0S2rVI-SQ,Vintage Spirits & Grill,WI,"529 University Ave, Capitol, Madison, WI 53703",31,5,3.4
65,2vsPceME9rHNZ9OkR5zrpg,The Paradise Lounge,WI,"119 W Main St, Capitol, Madison, WI 53703",40,10,4.2
66,_z9UrC5hCTBK1JIgQD0YDw,Noodles & Company,WI,"232 State St, Capitol, Madison, WI 53703",34,1,5.0
67,Ihd6mI4cfXzIwcMSXZnhnA,Tony Frank's Tavern,WI,"1612 Seminole Hwy, Madison, WI 53711",18,12,3.58
68,oZaCeojhVeBMvcjk_bFDag,Feiler's Food & Cocktails,WI,"4506 Verona Rd, Madison, WI 53711",8,2,3.0
69,xG7wiKZC0Yu_ZpZtnLC91Q,Chili's Grill & Bar,WI,"7301 Mineral Point Rd, Madison, WI 53717",16,1,3.0
70,ZZkubP-TCzbGuEOEzZno-A,Quivey's Grove,WI,"6261 Nesbitt Rd, Fitchburg, WI 53719",74,8,3.38
71,PdRzCJWP7nPdYoHPdd5SOQ,Portland's Restaurant & Wine Bar,AZ,"105 W Portland St, Phoenix, AZ 85003",92,25,3.56
72,8SoWH_iOdZD1OvebCwJUbg,Dennys,AZ,"3456 W Bethany Home Rd, Phoenix, AZ 85017",14,1,1.0
73,w3auuIZmKCdk2UvQbonyMQ,Midwestern Meats,AZ,"4308 E Main St, Mesa, AZ 85205",60,18,3.67
74,0BScRHEa2lVBCY4spkhmvQ,Grille At Las Sendas Golf Club,AZ,"7555 E Eagle Crest Dr, Mesa, AZ 85207",11,1,3.0
75,xkiVHfXb0QsuXp8HRzWWGw,First Round Draft,AZ,"1520 W Warner Rd, Ste 112, Gilbert, AZ 85233",27,2,2.0
76,faSdsW2s_SaVN0KTy-R2MQ,L'academie,AZ,"4301 N Scottsdale Rd, Scottsdale, AZ 85251",8,1,3.0
77,A8Khz3eeqIFFGaXurg3hxw,Rusty Spur Saloon,AZ,"7245 E Main St, Scottsdale, AZ 85251",92,4,3.75
78,FV0BkoGOd3Yu_eJnXY15ZA,Cowboy Ciao,AZ,"7133 E Stetson Dr, Ste 1, Scottsdale, AZ 85251",492,15,4.0
79,sYZt3f1YFlg0ycDMyO-vJw,The Blue Moose,AZ,"7373 E Scottsdale Mall, Scottsdale, AZ 85251",48,6,3.5
80,o4DsvwwD2kIbF-EM4r9G8A,Drift Lounge,AZ,"4341 N 75th St, Scottsdale, AZ 85251",58,1,3.0
81,aDBT5MB0L2JCUo3kqgFRJw,Karsen's Grill,AZ,"7246 E 1st St, Ste 101, Scottsdale, AZ 85251",64,13,4.31
82,z6vO1HR8L2iW4avr610XKw,The Grapevine,AZ,"4013 N Brown Ave, Scottsdale, AZ 85251",120,6,2.5
83,7QSYBp2-AOdyUJXEaLnbgA,Bandera,AZ,"3821 N Scottsdale Rd, Scottsdale, AZ 85251",302,18,4.39
84,AZAd_Zhv4UiJZ1x2FRPqIA,Pinon Grill,AZ,"7401 N Scottsdale Rd, Scottsdale, AZ 85253",15,1,2.0
85,2OY8xs4aqOt8eTnYokdrww,Elements,AZ,"5700 E McDonald Dr, Paradise Valley, AZ 85253",255,5,3.8
86,7lp13T_FUmX1XjU2wen_qw,Razz's Restaurant & Catering,AZ,"10315 N Scottsdale Rd, Scottsdale, AZ 85253",84,1,5.0
87,2JZv-P1lDKOPKvefQlYDEQ,Village Tavern,AZ,"The Shops At Gainey Village, 8787 N Scottsdale Rd, Scottsdale, AZ 85258",119,23,3.83
88,dyd81TK9jY-WLt6UbMFWng,Atlas Bistro,AZ,"2515 N Scottsdale Rd, Ste 18, Scottsdale, AZ 85257",76,1,4.0
89,JokKtdXU7zXHcr20Lrk29A,Four Peaks Brewing Co,AZ,"1340 E 8th St, Ste 104, Tempe, AZ 85281",1110,207,4.32
90,jJ2aoxyQjUKYCwWOKO4uPw,Grilled Expedition On Mill Cafe,AZ,"740 S Mill Ave, Tempe, AZ 85281",5,1,2.0
91,TzImzfIWkZTnetKl2a4-SQ,Gordon Biersch Brewery Restaurant,AZ,"420 S Mill Ave, Ste 201, Tempe, AZ 85281",192,26,2.96
92,eGevCRobYnA_HSj60sEWvQ,Pita Jungle,AZ,"1250 E. Apache Blvd., Tempe, AZ 85281",323,23,4.13
93,7kAXbY8hjHhC-nZKR2Embg,ASU Karsten Golf Course,AZ,"1125 E Rio Salado Pkwy, Tempe, AZ 85281",25,2,4.5
94,EKzMHI1tip8rC1-ZAy64yg,House of Tricks,AZ,"114 E 7th St, Tempe, AZ 85281",419,7,4.14
95,iNT6pcUugoXsDlZgRTyhtw,Caffe Boa,AZ,"398 S Mill Ave, Tempe, AZ 85281",356,16,2.81
96,TehSM5JrMRikSnjnnfulbw,Tonto Bar & Grill,AZ,"5736 E Rancho Manana Blvd, Cave Creek, AZ 85331",90,14,3.86
97,txOMZiCpQwI4qydicluM3g,Dennys,AZ,"8737 W Grand Ave, Peoria, AZ 85345",4,1,5.0
98,rhN7xg5XzvRKvdAXE9lBtA,Q Bar and Grill,AZ,"6750 W Olive Ave, Ste 102, Peoria, AZ 85345",18,1,4.0
99,cyxnQ6EocFbAENe7nRwx4Q,Mercer's Restaurant,AZ,"9720 W Peoria Ave, Peoria, AZ 85345",18,1,2.0
100,Cd6B3ErSmNwTjDlju_lU3g,Carefree Station,AZ,"Spanish Village, 7212 Ho Hum Rd, Carefree, AZ 85377",82,2,3.0
101,GoS_IBdFdjZrQ7J2LSrCMA,Wild Horse West,AZ,"8415 W Carefree Hwy, Peoria, AZ 85383",13,10,4.0
102,R13Yzsye39_1StxO0X1Flg,Campbell Mercantile Cafe,AZ,"9098 W Pinnacle Peak Rd, Peoria, AZ 85383",3,2,3.0
103,CE85IKRDS4GimIaoIp3N5A,Rainbow Club & Casino,NV,"122 S Water St, Henderson, NV 89015",80,6,4.5
104,qiblsXkj0dEWtoaXx9tE9Q,Northstar Bar & Grill,NV,"5150 Camino Al Norte, North Las Vegas, NV 89031",10,3,4.0
105,smoGuW2a2Nume83mB3JJSw,Applebee's Neighborhood Grill & Bar,NV,"820 E Warm Springs Rd, Southeast, Las Vegas, NV 89119",28,2,1.0
106,Q5pTGQKEhxgit1fwgrHEbg,Binion's Hotel & Casino,NV,"128 Fremont St, Downtown, Las Vegas, NV 89101",117,7,3.0
107,OvE1oiSg9gaB9cLGzBPlnw,Four Kegs Sports Bar,NV,"276 N Jones Blvd, Ste B, Las Vegas, NV 89107",243,8,3.75
108,QvRK2dyv4EDxuJ-LuodE2Q,Gordon Biersch Brewery Restaurant,NV,"3987 Paradise Rd, Eastside, Las Vegas, NV 89169",189,34,3.41
109,QJlab4DqvBRJPUfg7Vn5ZQ,Spago,NV,"The Forum Shops at Caesars, 3500 Las Vegas Blvd S, Ste G1, The Strip, Las Vegas, NV 89109",658,17,3.82
110,xBSQ3xs6qSIEr07WM4ho5A,Simon Kitchen and Bar,NV,"Hard Rock Hotel and Casino, 4455 Paradise Rd, The Strip, Las Vegas, NV 89109",14,1,4.0
111,76t_NE9GQthoryLZgDyxGg,Caribe Café,NV,"The Mirage, 3400 Las Vegas Blvd S, The Strip, Las Vegas, NV 89109",22,4,3.0
112,88CNSyeoKhGn1x0SHvz8Ig,Postrio,NV,"The Grand Canal Shoppes at The Venetian, 3377 Las Vegas Blvd S, Ste 2410, The Strip, Las Vegas, NV 89109",352,25,3.4
113,MWkIQNT5ewKwMfKbixgb6Q,California Pizza Kitchen,NV,"3200 Las Vegas Blvd, Sp#1590, The Strip, Las Vegas, NV 89109",76,1,5.0
114,8xH3A2heV5oIFn3EXu7AcA,Maverick Truck Stop,NV,"3225 Las Vegas Blvd N, Sunrise, Las Vegas, NV 89115",9,2,4.0
115,N8NiWbLzee9EOeMnz2MOlw,Claim Jumper,NV,"1100 S Fort Apache Rd, Westside, Las Vegas, NV 89117",118,13,2.54
116,_UsqOvmgoNzb_0xWpzwZBg,Chicago Brewing Company,NV,"2201 S Fort Apache Rd, Westside, Las Vegas, NV 89117",212,23,3.61
117,6P3SsceAMT39CBlo0upqHQ,Mad Matty's Bar & Grille,NV,"8100 W Sahara Ave, Westside, Las Vegas, NV 89117",20,6,4.17
118,wH8J9TI8ReocYZ3N2W04bw,Marie Callenders Restaurant & Bakery,NV,"8175 W Sahara Ave, Westside, Las Vegas, NV 89117",42,3,3.33
119,5FE1Y9cZ-YOQA943nTi7cA,Rosemary's Restaurant,NV,"8125 W Sahara Ave, Ste 110, Westside, Las Vegas, NV 89117",323,2,2.0
120,OaiGAZoW7TQyHfKJAgu5ZQ,PT's,NV,"1661 E Sunset Rd, Southeast, Las Vegas, NV 89119",21,1,5.0
121,w4gafqTSIkBjqPufGEEh6Q,Blue Ox Central,NV,"6000 S Eastern Ave, Southeast, Las Vegas, NV 89119",25,3,3.67
122,xUnM3aQI3BIw_zNU8cBgEA,Cili Fine Dining,NV,"5160 Las Vegas Blvd S, Southeast, Las Vegas, NV 89119",26,1,4.0
123,vPFiYlgyTpoqonN3rZkJhg,PT's,NV,"4310 E Tropicana Ave, Eastside, Las Vegas, NV 89121",11,2,3.0
124,Tc--MNuXGt6ggLzTX4LnOw,Mulligan's Border Bar & Grill,NV,"1235 E Pebble Rd, Southeast, Las Vegas, NV 89123",14,3,4.0
125,5oaHZw1g-Rbiianma5zU5g,PT's,NV,"582 E Silverado Ranch Blvd, Southeast, Las Vegas, NV 89123",22,1,4.0
126,co0vxQ8ecXiBy2sGDeHi8A,Jamms Restaurant,NV,"1029 S Rainbow Blvd, Westside, Las Vegas, NV 89145",298,7,3.57
127,QgeyXkZKSOIS_85pDIVuQQ,Sedona Lounge,NV,"9580 W Flamingo Rd, Spring Valley, Las Vegas, NV 89147",177,8,3.12
128,vGm5HVOg8M-I7lzAFLzrcg,PT's,NV,"3935 S Durango Dr, Spring Valley, Las Vegas, NV 89147",17,1,4.0
129,NERLJXacJ3b6peiZ8ceeqA,Hubbard Avenue Diner,WI,"7445 Hubbard Ave, Middleton, WI 53562",107,18,3.61
130,aRkYtXfmEKYG-eTDf_qUsw,Lux,AZ,"4402 N Central Ave, Phoenix, AZ 85012",747,6,5.0
131,E28ht8IEiO6FZbKktSo0Xw,Tommy Bahama Restaurant & Bar - Scottsdale,AZ,"15205 North Kierland Boulevard, 100, Scottsdale, AZ 85254",161,6,3.83
132,rP76z9iDOFczywAiee-l7A,Red Square Restaurant & Vodka Lounge,NV,"3950 Las Vegas Blvd S, The Strip, Las Vegas, NV 89119",405,6,2.83
133,H6CJflwclNpttYrtsBMsVg,Emeril's New Orleans Fish House,NV,"MGM Grand Hotel and Casino, 3799 Las Vegas Blvd S, Eastside, Las Vegas, NV 89109",542,13,3.77
134,xyTJYlbE_MLouK6rCou6zg,Burger Bar,NV,"Mandalay Bay Resort & Casino, 3930 S Las Vegas Boulevard, The Strip, Las Vegas, NV 89119",1876,1600,3.93
135,Z3qmQ6N4VEudR45exSHrTg,Mickey's Tavern,WI,"1524 Williamson St, Williamson - Marquette, Madison, WI 53703",103,18,4.33
136,PrgdIc0zK9nc8jo8I18x8A,Argus,WI,"123 E Main St, Capitol, Madison, WI 53703",29,4,4.25
137,3x_CqRwRgiHczkqPGAwacA,Orpheum Lobby Restaurant,WI,"216 State St, Capitol, Madison, WI 53703",21,1,5.0
138,N8Q2s-Snz2vL79zB3rEEug,Weary Traveler ,WI,"1201 Williamson St, Williamson - Marquette, Madison, WI 53703",270,99,4.03
139,5IWu0xhlZEopvIz3w7o_3w,Palm Restaurant,NV,"Caesar's Palace, 3500 Las Vegas Blvd S, The Strip, Las Vegas, NV 89109",370,16,3.62
140,HbUQ_3dlm3uCacmhTEMnuA,Tom Colicchio's Craftsteak,NV,"MGM Grand Hotel and Casino, 3799 Las Vegas Blvd S, Eastside, Las Vegas, NV 89109",1413,7,4.43
141,WhBxWYRj6rycigYqdXY9cA,Great Dane Pub & Brewing Co,WI,"123 E Doty St, Capitol, Madison, WI 53703",406,99,3.93
142,aSZzH68--YxNQYAO5nKBkA,Foundation Room,NV,"Mandalay Bay Hotel and Casino, 3950 S Las Vegas Blvd, The Strip, Las Vegas, NV 89109",267,2,4.5
143,jOuERtVf7QePnK9ZcdH5XA,Grand Lux Cafe,NV,"The Venetian Hotel & Casino, 3355 Las Vegas Blvd S, The Strip, Las Vegas, NV 89109",1497,180,4.0
144,M2SjLXsuAy5RNKwxaA5E1g,House of Blues,NV,"Mandalay Bay Hotel, 3950 Las Vegas Blvd S, The Strip, Las Vegas, NV 89119",462,31,3.29
145,nQK95GJD_KB-bc_g14bD9g,Mermaid Cafe,WI,"1929 Winnebago St, Schenk - Atwood, Madison, WI 53704",31,3,4.33
146,dsMvINhoQbIQgSRTBv2B6g,Caffe Boa Ahwatukee,AZ,"5063 E Elliot Rd, Phoenix, AZ 85044",93,2,3.0
147,ABrSt3fsirLrUYNVrD3fbQ,The Greene House,AZ,"15024 N Scottsdale Rd, Ste 100, Scottsdale, AZ 85254",201,20,3.6
148,EWMwV5V9BxNs_U6nNVMeqw,FEZ,AZ,"3815 N Central Ave, Phoenix, AZ 85012",1046,398,4.22
149,5rtC3OBCIq0WKVoKH--GCg,Bradley Ogden,NV,"Caesars Palace, 3570 Las Vegas Blvd, The Strip, Las Vegas, NV 89109",198,58,4.12
150,fq3TCuBBaKtRnibcSoRHpQ,T.G.I. Friday's,AZ,"2501 W Happy Valley Rd, Phoenix, AZ 85027",34,2,2.5
151,1nO6ffHEwZYFBzEsyw1w7w,FIX,NV,"Bellagio, 3600 S Las Vegas Blvd, The Strip, Las Vegas, NV 89109",367,38,3.61
152,ZNdsRbGeOfrYYPRl6AziCQ,Michael Mina,NV,"Bellagio Resort &Casino, 3600 S Las Vegas Blvd, The Strip, Las Vegas, NV 89109",370,1,5.0
153,aGulqXnFmpOh_5Qh96uBng,Alex,NV,"Wynn Las Vegas, 3131 Las Vegas Blvd S, Eastside, Las Vegas, NV 89109",128,1,3.0
154,vaq5SJubaZjIoGhgkwxxUA,Terrace Pointe Café,NV,"3131 Las Vegas Blvd. South, The Strip, Las Vegas, NV 89109",366,47,3.47
155,i2gLXa-MSAS-9oU8K_rnYQ,Bloom,AZ,"8877 N Scottsdale Rd, Ste 402, Scottsdale, AZ 85253",79,3,4.33
156,tdeHd2AVYlEnz9F1UGb84Q,ZuZu at Hotel Valley Ho,AZ,"6850 E Main St, Scottsdale, AZ 85251",202,24,3.75
157,UL3OMN_c-NXHlyb97pDifA,Yard House,AZ,"7014 East Camelback Rd, Scottsdale, AZ 85251",246,25,3.92
158,GJp4zTQPPsCEkUitopGfAQ,Stack Restaurant & Bar,NV,"The Mirage Resort and Casino, 3400 Las Vegas Blvd S, The Strip, Las Vegas, NV 89109",380,33,3.67
159,Ez2MFsVT5lJZ05yvK_0AXQ,Pita Jungle,AZ,"7366 E. Shea Blvd., Scottsdale, AZ 85260",286,20,4.25
160,4waggbCK-MSE9dbIdSMfPA,Compass Arizona Grill,AZ,"The Hyatt Regency, 122 N Second St, Phoenix, AZ 85004",135,1,4.0
161,qXG8IlKuvy5k9fJ3y2gLgg,Nobhill Tavern by Michael Mina,NV,"3799 Las Vegas Blvd S, Eastside, Las Vegas, NV 89109",322,28,3.86
162,rXEGCpdboVwczMIDZuXXaA,Sardine,WI,"617 Williamson St, Williamson - Marquette, Madison, WI 53703",191,10,4.7
163,rZbHg4ACfN3iShdsT47WKQ,Bobby Q,AZ,"8501 N 27th Ave, Phoenix, AZ 85051",720,48,4.62
164,45CkLZEIYK4KLDAb5GvxEg,Elephant Bar Restaurant,NV,"2270 Village Walk Dr, Anthem, Henderson, NV 89052",158,14,3.14
165,UpMR63WZgIn8VDKnYpDwXA,Cafe Bellagio,NV,"Bellagio Resort &Casino, 3600 S Las Vegas Blvd, The Strip, Las Vegas, NV 89109",447,62,3.11
166,Ydc74ermKp1L4fYOrPvzXw,Stoudemire's Downtown,AZ,"3 S 2nd St, Phoenix, AZ 85004",18,1,3.0
167,aUHHfCiFtGhN5R6KXCsBKw,Fenix Eatery & Bar,AZ,"3943 E Camelback Rd, Phoenix, AZ 85018",11,1,1.0
168,uCoNIQty4nPrhn_WHo110A,The Cheesecake Factory,NV,"3500 South Las Vegas Blvd., The Strip, Las Vegas, NV 89109",272,18,3.33
169,xfwRO04KbAPw_zRotCfWQQ,Hash House A Go Go,NV,"6800 W Sahara Ave, Westside, Las Vegas, NV 89146",2201,147,3.89
170,_oBxfuBd2qDEWaYsdvP_dg,Gordon Biersch Brewery Restaurant,AZ,"6915 N 95th Ave, Glendale, AZ 85305",91,12,2.83
171,NK-8zniVfA21IQoQCynrDg,America,NV,"New York New York Hotel & Casino, 3790 Las Vegas Blvd S, The Strip, Las Vegas, NV 89109",234,19,2.68
172,cdacUBBL2tDbDnB1EfhpQw,Cafe Carumba,AZ,"7303 E Indian School Rd, Scottsdale, AZ 85251",67,6,3.33
173,53YGfwmbW73JhFiemNeyzQ,Olive & Ivy,AZ,"7135 E Camelback Rd, Ste 195, Scottsdale, AZ 85251",654,6,3.33
174,-yxfBYGB6SEqszmxJxd97A,Quiessence Restaurant,AZ,"6106 S 32nd St, Phoenix, AZ 85042",128,3,4.33
175,RDX_MLThtKVPb22TvJh9rQ,7th Heaven Eatery,AZ,"2501 E Camelback Rd, Phoenix, AZ 85016",10,1,3.0
176,WS1XuIez_2KP-3RJD-r9kg,THEcafe at THEhotel,NV,"Mandalay Bay Resort and  Casino, 3950 S Las Vegas Blvd, The Strip, Las Vegas, NV 89109",123,6,3.67
177,kFmud3f8H8GSO8eeHDNfrA,Table 34,NV,"600 E Warm Springs Rd, Southeast, Las Vegas, NV 89119",92,3,4.0
178,irNhzcao8kH6XkNeE916zA,Fusion Restaurant and Lounge,AZ,"4441 N Buckboard Trl, Scottsdale, AZ 85251",6,2,5.0
179,_fcEpudbiTB4o9wLJ-egTA,Grand Café,NV,"Green Valley Ranch Resort & Spa, 2300 Paseo Verde Pkwy, Anthem, Henderson, NV 89052",48,2,3.5
180,4uDW2Rp9eAPL5BUd5C5-bA,Kona Grill,NV,"750 S Rampart Blvd, Westside, Las Vegas, NV 89145",311,15,3.47
