,name,unique_business_ids,all_business_ids,all_states,all_address
181,Chili's Grill & Bar,6,"['DfNoB509sMpMbu-qvsgvrA', 'xG7wiKZC0Yu_ZpZtnLC91Q', 'vBDVxjMtXzZ8GUhV-1L3Jw', 'BdHq8McnAFZ_TinhrQrNuQ', 'dVRRT0zVk8eFNx0Wv6gMmg', 's9sTtT5tlqAMgR4gYvLogA']","['NV', 'WI', 'AZ', 'NV', 'AZ', 'AZ']","['10080 S Eastern Ave, Anthem, Henderson, NV 89052', '7301 Mineral Point Rd, Madison, WI 53717', '12660 N Tatum, Phoenix, AZ 85032', '7335 Arroyo Crossing Pkwy, Spring Valley, Las Vegas, NV 89113', '3039 W Agua Fria Frwy, Phoenix, AZ 85037', '3045 W Agua Fria Fwy, Phoenix, AZ 85027']"
188,Claim Jumper,2,"['N8NiWbLzee9EOeMnz2MOlw', 'H2pm7yVZci7M5RKhAOYzuA']","['NV', 'NV']","['1100 S Fort Apache Rd, Westside, Las Vegas, NV 89117', '6629 Las Vegas Blvd S, Southeast, Las Vegas, NV 89119']"
206,Cowboy Ciao,2,"['FV0BkoGOd3Yu_eJnXY15ZA', 'mqLIvIVWmV00VWo3L5pj3Q']","['AZ', 'AZ']","['7133 E Stetson Dr, Ste 1, Scottsdale, AZ 85251', '3800 E Sky Harbor Blvd, Ste 4348, Phoenix, AZ 85034']"
215,Culinary Dropout,3,"['xY1sPHTA2RGVFlh5tZhs9g', 'cwAd2nytPLKmABtLXsgpIw', '4Y9-JiDz9EVR_-UkUv4dYg']","['AZ', 'NV', 'AZ']","['7135 E Camelback Rd, Ste 125, Scottsdale, AZ 85251', 'Hard Rock Hotel & Casino, 4455 Paradise Rd, Eastside, Las Vegas, NV 89169', '5632 N 7th St, Phoenix, AZ 85014']"
234,Denny's,2,"['dH3rJa4JSxmlyAwg8kPLOQ', '4zG4BIOz8pJ_mT3zsDIPew']","['NV', 'AZ']","['1826 Las Vegas Blvd S, The Strip, Las Vegas, NV 89104', '825 S 48th St, Tempe, AZ 85281']"
236,Denny's Restaurant,2,"['nU1xvCBFBVkahDrZSoN2Rw', 'KSHdIbYNS2bNzq1BR5HwEA']","['AZ', 'AZ']","['1401 N 75th Ave, Phoenix, AZ 85043', '2801 N. Black Canyon, Phoenix, AZ 85009']"
237,Dennys,6,"['Mx_IcFzTaPiPMm5SQY743w', 'PBcsBfduHaCBVLsgVvAkJQ', '8SoWH_iOdZD1OvebCwJUbg', 'i98vDwJCbC4RHvDo0_XQuw', 'txOMZiCpQwI4qydicluM3g', '9VUTqEup282t7RrWYnoOcQ']","['AZ', 'AZ', 'AZ', 'AZ', 'AZ', 'NV']","['1851 E Florence Blvd, Casa Grande, AZ 85122', '7400 W Chandler Blvd, Chandler, AZ 85226', '3456 W Bethany Home Rd, Phoenix, AZ 85017', '2525 W Deer Valley Rd, Phoenix, AZ 85027', '8737 W Grand Ave, Peoria, AZ 85345', '8000 West Sahara Ave, Ste 110, Westside, Las Vegas, NV 89117']"
270,Elephant Bar Restaurant,4,"['QzXFdjIbFRGhzL83goPPLA', '1eJ0pC6UrQVkDSflgrs0Fw', '45CkLZEIYK4KLDAb5GvxEg', 'UCid2Tas6K4SB9sHO9gQ8w']","['AZ', 'AZ', 'NV', 'AZ']","['7000 E. Mayo Blvd., Suite 27, Phoenix, AZ 85054', '16160 No 83rd Ave, Peoria, AZ 85382', '2270 Village Walk Dr, Anthem, Henderson, NV 89052', '3405 W Chandler Blvd, Chandler, AZ 85226']"
335,Gordon Biersch,2,"['5UhvArR-D1cBL3V21oaosQ', 'GjvIDOEhdQB1oPrFeSpxBw']","['NV', 'AZ']","['5757 Wayne Newton Blvd, D Terminal, Las Vegas, NV 89136', '18545 N Allied Way, Phoenix, AZ 85054']"
336,Gordon Biersch Brewery Restaurant,5,"['TzImzfIWkZTnetKl2a4-SQ', 'QvRK2dyv4EDxuJ-LuodE2Q', '_oBxfuBd2qDEWaYsdvP_dg', 'gvtwlFW29b92qcYUAH_v2w', 'xmtKVO7C7KYVqMBe2eQq3A']","['AZ', 'NV', 'AZ', 'NV', 'AZ']","['420 S Mill Ave, Ste 201, Tempe, AZ 85281', '3987 Paradise Rd, Eastside, Las Vegas, NV 89169', '6915 N 95th Ave, Glendale, AZ 85305', '750 S Rampart Blvd, Ste 16, Westside, Las Vegas, NV 89145', '2218 E Willams Field Rd, Gilbert, AZ 85295']"
338,Grand Café,4,"['_fcEpudbiTB4o9wLJ-egTA', 'g9XzAhPiS9DCYT4FbKPzZg', '98Cs_twO8VAroN3oA5TkGw', 'MikwfuKo3AvdRaM97SQVzg']","['NV', 'NV', 'NV', 'NV']","['Green Valley Ranch Resort & Spa, 2300 Paseo Verde Pkwy, Anthem, Henderson, NV 89052', 'Sunset Station Hotel and Casino, 1301 W Sunset Rd, Henderson, NV 89104', 'Boulder Station Hotel & Casino, 4111 Boulder Highway, Las Vegas, NV 89121', 'Texas Station Gambling Hall & Hotel, 2101 Texas Star Ln, Northwest, North Las Vegas, NV 89130']"
339,Grand Lux Cafe,3,"['jOuERtVf7QePnK9ZcdH5XA', 'VO13q-11lh7St1gd7JPI3Q', 'kwEQ3uY9Jwmknb5kNg3UlA']","['NV', 'AZ', 'NV']","['The Venetian Hotel & Casino, 3355 Las Vegas Blvd S, The Strip, Las Vegas, NV 89109', '7014 E Camelback Rd, Ste 1023, Scottsdale, AZ 85251', 'PALAZZO Resort Hotel Casino, 3327 Las Vegas Blvd S, Ste 1580, The Strip, Las Vegas, NV 89109']"
341,Grassroots Kitchen & Tap,2,"['3wLLf8wRqD1ZQowi9aZSoA', 'gpdBiTU4FWxBz4sAb9UW3g']","['AZ', 'AZ']","['8120 N Hayden Rd, Ste E-100, Scottsdale, AZ 85258', '2119 E Camelback Rd, Ste A21, Phoenix, AZ 85016']"
353,Greens and Proteins,2,"['EQxbEKkHxNvRT_-S5A-Gcw', '82yh4-ZTPaBaKFFgY5kuzA']","['NV', 'NV']","['8975 S Eastern Ave, Southeast, Las Vegas, NV 89123', '9809 W Flamingo Rd, Spring Valley, Las Vegas, NV 89147']"
364,Hash House A Go Go,3,"['xfwRO04KbAPw_zRotCfWQQ', 'QbmcCE_cLq4WO8ZMKImaLw', 's93PtWxihLbhK5Jg_FttzA']","['NV', 'NV', 'NV']","['6800 W Sahara Ave, Westside, Las Vegas, NV 89146', 'The Quad Resort & Casino, 3535 Las Vegas Blvd S, The Strip, Las Vegas, NV 89109', 'Plaza Hotel and Casino, 1 S Main St, Downtown, Las Vegas, NV 89101']"
382,I Love Burgers,2,"['PNThcRNEFI3azvfhvhd_KA', 'B3X4Cbty1G_m9abGL47sQw']","['NV', 'NV']","['The Palazzo, 3327 Las Vegas Blvd S, The Strip, Las Vegas, NV 89109', '6569 S Las Vegas Blvd, Ste 176, Southeast, Las Vegas, NV 89119']"
417,Kona Grill,3,"['-vHWAsiX0iHWJw-pkqv32Q', '4uDW2Rp9eAPL5BUd5C5-bA', '6qC2ATU4rVRRTKI-SScQOQ']","['AZ', 'NV', 'AZ']","['3111 W Chandler Blvd, Chandler Fashion Center, Chandler, AZ 85226', '750 S Rampart Blvd, Westside, Las Vegas, NV 89145', '2224 E Williams Field Rd, Gilbert, AZ 85295']"
461,Majerle's Sports Grill,2,"['maB4VHseFUY2TmPtAQnB9Q', 'kgPjOtSeMd3CMdbnEmHbeQ']","['AZ', 'AZ']","['Chandler Fashion Center, 3095 W Chandler Blvd, Chandler, AZ 85226', '4425 N Saddlebag Trl, Scottsdale, AZ 85251']"
479,Meatball Spot,2,"['c9wKRLG8MmJVdFIx9qtgfA', 'FQdQqgLGIvXb14HHKhureA']","['NV', 'NV']","['6605 Las Vegas Blvd, Ste 145, Southeast, Las Vegas, NV 89119', 'Planet Hollywood - Miracle Mile Shops, 3663 Las Vegas Blvd S, The Strip, Las Vegas, NV 89109']"
507,Nacho Daddy,2,"['aYAlzKHwXQn6JNLweRnZjQ', 'h7R_IMg3nss8I5nV7sbmfg']","['NV', 'NV']","['9925 S Eastern Ave, Anthem, Las Vegas, NV 89183', '113 N 4th St, Downtown, Las Vegas, NV 89101']"
509,Native New Yorker,2,"['uyg5_fHXJe837GXd-4yiSQ', 'FFdlPSZCGgTdg1CAfrlvlw']","['AZ', 'AZ']","['21164 N John Wayne Pkwy, Maricopa, AZ 85239', '1339 E Chandler Blvd, Phoenix, AZ 85048']"
520,Noodles & Company,2,"['_z9UrC5hCTBK1JIgQD0YDw', 'omWFwLRqI3VTcM46L8-qaA']","['WI', 'WI']","['232 State St, Capitol, Madison, WI 53703', '3600 University Ave, Madison, WI 53705']"
536,Old Country Buffet,4,"['9ocGgALmbzTZWOS7f7SYcA', 'SS073W0tN3nvG36Qy6n0qg', 'QyDYXJRz3b4f80qsMgpPFQ', 'cuMMU10KaD0cZ2WdK5XC1A']","['AZ', 'AZ', 'AZ', 'AZ']","['1855 S Stapley Dr, Mesa, AZ 85204', '6625 E Southern Ave, Mesa, AZ 85206', '17125 N 79th Ave, Glendale, AZ 85308', '9620 Metro Pkwy W, Ste 153, Phoenix, AZ 85051']"
539,Olive & Ivy,2,"['53YGfwmbW73JhFiemNeyzQ', 'setfRzkAcOPxKH5TZLTqJQ']","['AZ', 'AZ']","['7135 E Camelback Rd, Ste 195, Scottsdale, AZ 85251', '3400 E Sky Harbor Blvd, Ste 3300, Phoenix, AZ 85034']"
544,Original ChopShop Co.,3,"['G149aO4XXAKBsUcksvuI7g', 'eEU1XtdASLqdAGKg0QDNdg', 'uQni9zWYFcz7LUn2_hIdDQ']","['AZ', 'AZ', 'AZ']","['7158 E 5th Ave, Scottsdale, AZ 85251', '222 E University Dr, Tempe, AZ 85281', '35 W Boston St, Chandler, AZ 85225']"
550,PT's,30,"['IALHPP1RDtpXV9KnUM0EQQ', 'xNyTjXh2FRuT4Z8Ncj9WhA', 'a9Z5KKEDaC4Y4MHiRZhzzA', 'NNSDXtjgNUNAgQH99R0yWw', '56Ulj9IFRp5Pz8ufJSHXBg', 'nV79jhp3QzgSwV49bRTxiA', 'VRYTY0V7WZcP-yzv7bkllg', 'OaiGAZoW7TQyHfKJAgu5ZQ', 'vPFiYlgyTpoqonN3rZkJhg', '5oaHZw1g-Rbiianma5zU5g', 'Nv3oky9GGH5KPiXjXIOSKw', 'vGm5HVOg8M-I7lzAFLzrcg', 'y-kH7jF1mG5GXmejbHJ_Ag', 'dfb_VmNKMJ8QjVi48y5vcQ', 'yfzr4CJpDnbMYq91ADc9dQ', 'P8-k3G0pCBmOcfNaA63oLg', 'ywnY2EoUlboGgmXTuczbYQ', 'JyJDtNQYszK_MmEmzhkoDw', 'K9rlhLtpGjpzcVqZ3qxmug', 'WkGl46RIsgyhqj5CSPejSQ', 'NUl8uEz5ijDAZvkgCQrrpA', '9S1tgwjtErBJywAlXuSIlw', 'pXpjArpg7mdmn3ujSlFBUg', 'hKmjsDS-nK-cPyUyix-PiQ', 'Ntzv4OWdwq1lNW7lnTJoyg', 'G_bvx3BjuoWr9A_zfdZ6IQ', 'sS5EmR4ZG_6YG87dNp8yxw', 'm7FpRPI-vvVzFVi2CfHFzg', 'O7YoGLwEzuk-P9KhL1TO7A', 'GIIjpqCC9qlFlFXZwROLzg']","['NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV', 'NV']","['4604 W Sahara Ave, Suite #10, Westside, Las Vegas, NV 89102', '2280 S Nellis Blvd, Sunrise, Las Vegas, NV 89104', '5355 S Decatur Blvd, Las Vegas, NV 89118', '3470 E Sunset Rd, Southeast, Las Vegas, NV 89120', '8584 W Lake Mead Blvd, Summerlin, Las Vegas, NV 89128', '6055 E Lake Mead Blvd, Sunrise, Las Vegas, NV 89156', '4825 W Flamingo Ave, Suite #3, Las Vegas, NV 89103', '1661 E Sunset Rd, Southeast, Las Vegas, NV 89119', '4310 E Tropicana Ave, Eastside, Las Vegas, NV 89121', '582 E Silverado Ranch Blvd, Southeast, Las Vegas, NV 89123', '739 S Rainbow Blvd, Westside, Las Vegas, NV 89145', '3935 S Durango Dr, Spring Valley, Las Vegas, NV 89147', '2875 S Nellis Blvd, Sunrise, Las Vegas, NV 89121', '1383 E Silverado Ranch Blvd, Southeast, Las Vegas, NV 89123', '6235 S Decatur Blvd, Las Vegas, NV 89118', '310 E Warm Springs Rd, Southeast, Las Vegas, NV 89119', '4424 W Spring Mountain Rd, Chinatown, Las Vegas, NV 89102', '10075 S Eastern Ave, Anthem, Henderson, NV 89052', '6610 S Fort Apache Ave, Spring Valley, Las Vegas, NV 89148', '10940 S Eastern Ave, Anthem, Henderson, NV 89052', '2135 E Centennial Pkwy, Las Vegas, NV 89081', '5630 S Hualapai Way, Spring Valley, Las Vegas, NV 89148', '1281 S Decatur Blvd, Westside, Las Vegas, NV 89102', '6570 S Buffalo Dr, Spring Valley, Las Vegas, NV 89113', '3770 S Hualapai Way, South Summerlin, Las Vegas, NV 89147', '812 W Ann Rd, Las Vegas, NV 89031', '61 W Horizon Ridge Pkwy, Henderson, NV 89012', '1089 E Tropicana Ave, University, Las Vegas, NV 89119', '2430 Pebble Rd, Henderson, NV 89074', '9050 W Post Rd, Spring Valley, Las Vegas, NV 89148']"
577,Pita Jungle,14,"['1Duul3qCnLrNak1Np-iHfw', 'eGevCRobYnA_HSj60sEWvQ', 'Ez2MFsVT5lJZ05yvK_0AXQ', 'w19cemjVR8u02PgjFpJ7Mw', 'MFPk16G7fAxnCKTyfjw8Vw', 'qwmHm3s8p7J12AIY6Co8HQ', 'uIDdneARsmwPLebKrwMtBw', 'wl51t6lT7leiX64SlkOx6g', 'l-Xv5Kmg2gilJI3-DGVCqw', 'TnkxapUN4nWMz_z5h3qMYg', '7aS0iFpab3XHFQrRGMOKXw', '5niUestkeI0tBcBAv4SyKw', 'z7wUzllCnzHVuNzMQw43Hw', 'NqA43LG4PCPEDQT672zMNA']","['AZ', 'AZ', 'AZ', 'AZ', 'AZ', 'AZ', 'AZ', 'AZ', 'AZ', 'AZ', 'AZ', 'AZ', 'AZ', 'AZ']","['1949 W Ray Rd, Chandler, AZ 85224', '1250 E. Apache Blvd., Tempe, AZ 85281', '7366 E. Shea Blvd., Scottsdale, AZ 85260', '4340 E. Indian School Rd., Phoenix, AZ 85018', '1850 W. Southern Ave., Mesa, AZ 85202', '7530 W Bell Rd, Ste 106, Glendale, AZ 85308', '1431 E Williams Field Rd, Ste 101, Gilbert, AZ 85295', '20910 N Tatum Blvd, Suite 140, Phoenix, AZ 85050', '7014 E. Camelback Rd., Scottsdale, AZ 85251', '1001 N 3rd Ave, Ste 3, Phoenix, AZ 85003', '2530 W Happy Valley Rd, Ste 1261, Phoenix, AZ 85085', '4921 E Ray Rd, Ste B2, Phoenix, AZ 85044', '14858 N Frank Lloyd Wright Blvd, Scottsdale, AZ 85260', '1652 S. Val Vista Dr., Suite 128, Mesa, AZ 85204']"
593,Presto Cafe,2,"['9XOzi2IIibwtnGOvtdDpjA', 'OEUIE8VBa1BbBfr5EPcTOA']","['NV', 'NV']","['4950 S Rainbow Blvd, Ste 130, Spring Valley, Las Vegas, NV 89118', '19 S Stephanie, Ste140, Henderson, NV 89012']"
670,Sierra Gold,4,"['fZVZeZJkziJ7B1rIcmT3Iw', 'bwaj94niH8eOG5p31IKB6Q', 'h16e3XoDeeNdWjOT7JtRnw', 'RzVwAdOxT9JQkeoeBMYPoQ']","['NV', 'NV', 'NV', 'NV']","['6515 S Jones Blvd, Spring Valley, Las Vegas, NV 89118', '1341 W Warm Springs Rd, Henderson, NV 89014', '6929 Aliante Pkwy, Las Vegas, NV 89084', '2400 N Buffalo Dr, Suite #125, Summerlin, Las Vegas, NV 89128']"
681,Smashburger,2,"['211DetkFdxd8sQ54CMU35A', 'KT_r7qwU8sSfcR31zETGkg']","['AZ', 'AZ']","['2000 E Rio Salado Pkwy, Ste 1155, Tempe, AZ 85281', '9918 W Happy Valley Rd, Suite 1030, Peoria, AZ 85383']"
714,T.G.I. Friday's,2,"['fq3TCuBBaKtRnibcSoRHpQ', 'Uvdw8gzQTPkt7SPmx5W7Eg']","['AZ', 'NV']","['2501 W Happy Valley Rd, Phoenix, AZ 85027', '9090 Alta Dr, Westside, Las Vegas, NV 89145']"
716,TGI Friday's,5,"['Tlp5G-slaW4XKRxhgjaCpA', 'Xo7K1LugLnT4pGc5TtwHRA', 'Q5diW79GD0MSJ10j1HCf8Q', 'OeDRfvftWBp3avCfWrQi1g', '6sNvLW4fVBWEgze71pGDZQ']","['AZ', 'NV', 'AZ', 'AZ', 'NV']","['1559 N Litchfield Rd, Goodyear, AZ 85338', '4570 W Sahara Ave, Westside, Las Vegas, NV 89102', '11025 N Black Canyon Hwy, Phoenix, AZ 85073', '2920 E Germann Rd, Chandler, AZ 85286', '7300 Aliante Pkwy, North Las Vegas, NV 89084']"
727,Taps Signature Cuisine & Bar,2,"['OSsueRKTxM0MEbgIRsUebA', 'Bw1X7qcWTUHvKJyUN7h94Q']","['AZ', 'AZ']","['9780 W Northern Ave, Ste 1110, Peoria, AZ 85345', '1010 Southern Ave, Mesa, AZ 85204']"
747,The Cheesecake Factory,8,"['2r8jGeuYvMkyP2ik_X-Bxw', '78IaYCf9ktUep4UhhjXbTg', 'ewZlgc22xN5NNQ1H7U6Y7g', 'ADJIoHN3uLx-JalYl3r3Dw', 'uCoNIQty4nPrhn_WHo110A', 'iDQK85-DyIlSpTz_XhkZVA', 'jfXqQTdxktGQWkELGn-7wA', 'lIlaoptZjY7DD4pO0Mk8ow']","['AZ', 'AZ', 'AZ', 'AZ', 'NV', 'NV', 'AZ', 'NV']","['2402 East Camelback, Space #101, Phoenix, AZ 85016', '3111 W Chandler Blvd, Suite 2100, Chandler, AZ 85226', '15230 N Scottsdale Rd, Scottsdale, AZ 85254', '16134 North 83rd Avenue, Peoria, AZ 85382', '3500 South Las Vegas Blvd., The Strip, Las Vegas, NV 89109', 'The District at Green Valley Ranch, 160 S Green Valley Pky, Henderson, NV 89052', 'Superstition Springs Center, 6613 E Southern Ave, Mesa, AZ 85206', '750 S Rampart Blvd, Bldg 17, Westside, Las Vegas, NV 89145']"
763,The Grind,2,"['r-a-Cn9hxdEnYTtVTB5bMQ', 'SsL60j4ut59-v-gjmM5PKQ']","['AZ', 'AZ']","['3961 E Camelback Rd, Phoenix, AZ 85018', '20511 N Hayden Rd, Scottsdale, AZ 85255']"
766,The Herb Box,2,"['qd1ajiZRCwqEQJqCgoN1wg', 'jRfdz5voj40P6WS9L54caw']","['AZ', 'AZ']","['DC Ranch, 20707 N Pima Rd, Ste 140-145, Scottsdale, AZ 85255', 'Old Town Scottsdale, 7134 E Stetson Dr, Ste 200, Scottsdale, AZ 85251']"
783,The Melting Pot,3,"['pQAIM21Yw4eNdbha2Rxkcg', 'HAgGoHAT9Ar98jjBvhucPA', 'UHh2br86pxndWXELC6B8Cw']","['AZ', 'NV', 'AZ']","['8260 N Hayden Rd, Scottsdale, AZ 85258', '8955 S. Eastern Avenue, Southeast, Green Valley, NV 89123', '19420 N 59th Ave, Glendale, AZ 85308']"
832,True Food Kitchen,2,"['qjmCVYkwP-HDa35jwYucbQ', 'Zh_y9AmSfWZpR2JB9wye-A']","['AZ', 'AZ']","['2502 E Camelback Rd, Phoenix, AZ 85016', '15191 N Scottsdale Rd, Ste 100, Scottsdale, AZ 85254']"
837,Twin Peaks,4,"['CEswyP-9SsXRNLR9fFGKKw', 'FDXk2MDLPf72uEDT6Bq1Mw', 'aNuyJOFNrb-d71amzPpxlw', '3W3e6nbSxePT4ctJGkljZQ']","['AZ', 'NV', 'AZ', 'NV']","['8787 E Frank Lloyd Wright, Scottsdale, AZ 85260', '3717 Las Vegas Blvd., Ste 285, The Strip, Las Vegas, NV 89109', '2135 E. Camelback Rd., Phoenix, AZ 85016', '9510 S. Eastern Ave., Ste. 100, Southeast, Henderson, NV 89123']"
859,Village Inn,2,"['8t8DFm9iJr30I3tNSaWkKQ', 'Oif-dEqMVS3ee_p5ZhYyqA']","['AZ', 'AZ']","['1080 W Elliot Rd, Tempe, AZ 85284', '6813 E Main St, Mesa, AZ 85207']"
881,Wienerschnitzel,2,"['UBq0EyWQe42H0lrq0PXXqQ', '8RYf6xuRZDTyvX59eTAydw']","['AZ', 'NV']","['2100 N McQueen Rd, Chandler, AZ 85225', '2060 E Serene Ave, Southeast, Las Vegas, NV 89123']"
897,Yard House,6,"['UL3OMN_c-NXHlyb97pDifA', '8cL7aJVKTYmLguzXEAS3Lw', 'j_pce4pG9krrBeYwUni8Pg', 'cBpJIOrVXotDI0XAZH_k0g', '6IRoWd6N__OVMNQfvu1Ccw', 'PbfrZVqGWDVWklKKxmVkzw']","['AZ', 'AZ', 'NV', 'AZ', 'NV', 'NV']","['7014 East Camelback Rd, Scottsdale, AZ 85251', '21001 North Tatum Blvd, Phoenix, AZ 85050', '6593 Las Vegas Blvd S., Southeast, Las Vegas, NV 89119', '9401 West Westgate Blvd, Glendale, AZ 85305', '11027 W Charleston Blvd, South Summerlin, Las Vegas, NV 89135', '3545 Las Vegas Blvd., South L-17, The Strip, Las Vegas, NV 89109']"
