,business_id,name,state,address,review_count,average_rating
29,fVgrpVyp-nPLTac9YIjTug,T Cook's Restaurant,AZ,"Royal Palms Resort and Spa, 5200 E Camelback Rd, Phoenix, AZ 85018",191,3.98
30,2gMx4KnXbNtpoCuVCmyo3g,Coco's Restaurant,AZ,"4601 E Thomas Rd, Phoenix, AZ 85018",11,2.0
31,adEJYiysRmK8eDqnHP9N6A,Carl's Jr 7091,AZ,"2343 E Bell Rd, Phoenix, AZ 85022",6,3.0
32,kvxrjOmicwb2njvXOJsZRw,Ammaccapane's Restaurant & Sports Bar,AZ,"13470 N 7th St, Phoenix, AZ 85022",17,3.68
33,UpYva_zhJ6pRGfdTruIYIg,California Pizza Kitchen,AZ,"21001 N. Tatum Blvd, Ste 40-1370, Phoenix, AZ 85050",56,3.35
34,QzXFdjIbFRGhzL83goPPLA,Elephant Bar Restaurant,AZ,"7000 E. Mayo Blvd., Suite 27, Phoenix, AZ 85054",96,3.47
35,SepzOmKNnbVXkqXeFtoapw,Abbey Gardens,AZ,"1837 W Guadalupe Rd, Ste 107, Mesa, AZ 85202",4,3.0
36,9ocGgALmbzTZWOS7f7SYcA,Old Country Buffet,AZ,"1855 S Stapley Dr, Mesa, AZ 85204",22,3.04
37,cyeBcWOtZUypZOO-guTdDw,Wing's Express,AZ,"1449 E Main St, Mesa, AZ 85204",7,4.29
38,H3rEy4UWRp6BfoWER4MSCA,Jack In the Box,AZ,"1911 S Power Rd, Mesa, AZ 85206",3,2.67
39,eIhmvoU0EoK7CdrBuXQfEw,Rockin'r Ranch,AZ,"6136 E Baseline Rd, Mesa, AZ 85206",14,2.42
40,6uz6H-RNxbsVsvC4CRCo_A,Annabelle's Dining & Lounge,AZ,"425 S Power Rd, Mesa, AZ 85206",7,2.67
41,SS073W0tN3nvG36Qy6n0qg,Old Country Buffet,AZ,"6625 E Southern Ave, Mesa, AZ 85206",15,3.69
42,g8ewG8o0ubTUTAUDj7UZLQ,Pub'n Grub,AZ,"2815 S Alma School Rd, Ste 101, Mesa, AZ 85210",11,3.82
43,Jge6Oit_JdTkkJ6UzhWVNA,Red Sage Restaurant,AZ,"8330 E Sunrise Sky Dr, Gold Canyon, AZ 85218",18,2.65
44,JNEeWjajyZPrwMb1cYi_pg,Creative Cafe,AZ,"1420 N Trekell Rd, Casa Grande, AZ 85222",41,4.38
45,Mx_IcFzTaPiPMm5SQY743w,Dennys,AZ,"1851 E Florence Blvd, Casa Grande, AZ 85122",10,3.25
46,1Duul3qCnLrNak1Np-iHfw,Pita Jungle,AZ,"1949 W Ray Rd, Chandler, AZ 85224",228,3.91
47,T9iBSa4pxYXP129pHlt5Sg,Kai,AZ,"5594 W Wild Horse Pass Blvd, Chandler, AZ 85226",119,4.68
48,PEezgevlEHjujMN1qTQH1g,Bahama Breeze,AZ,"7200 W Ray Rd, Chandler, AZ 85226",3,3.33
49,78IaYCf9ktUep4UhhjXbTg,The Cheesecake Factory,AZ,"3111 W Chandler Blvd, Suite 2100, Chandler, AZ 85226",137,3.38
50,-vHWAsiX0iHWJw-pkqv32Q,Kona Grill,AZ,"3111 W Chandler Blvd, Chandler Fashion Center, Chandler, AZ 85226",134,3.53
51,Nu0_tUBN6R9Oc-YsLVFNJg,California Pizza Kitchen,AZ,"3163 W Chandler Blvd, Ste 4, Chandler, AZ 85226",46,3.43
52,ladc7jWsCaOlaErCDdnubA,Baja Fresh,AZ,"3450 W Chandler Blvd, Chandler, AZ 85226",9,1.89
53,IMGW6y8wHQCfr_6k-YXg_A,BJ's Restaurant & Brewhouse,AZ,"3155 W.Chandler Blvd., Chandler, AZ 85226",174,3.69
54,PBcsBfduHaCBVLsgVvAkJQ,Dennys,AZ,"7400 W Chandler Blvd, Chandler, AZ 85226",7,2.57
55,xuEsUDFIWIEnBXvj1EBXlw,Crabby Don's Bar & Grill,AZ,"3861 E Baseline Rd, Ste K139, Gilbert, AZ 85234",28,3.15
56,L9UYbtAUOcfTgZFimehlXw,Liberty Market,AZ,"230 N Gilbert Rd, Gilbert, AZ 85234",603,4.28
57,i84W7aDZK18D4fLxXEkJlA,Forum Cafe,AZ,"6263 N Scottsdale Rd, Scottsdale, AZ 85250",4,3.67
58,KHoBFKiWf0pJntUzDQPkgw,Scottsdale Silverado Golf Club,AZ,"7605 E Indian Bend Rd, Scottsdale, AZ 85250",27,2.92
59,68_EJEA9Ibo55EDp3d-nOg,Randy's Restaurant & Ice Cream,AZ,"7904 E Chaparral Rd, Scottsdale, AZ 85250",95,3.8
60,kYQxOeJRFYats6cxVFnILw,FOX Sports Grill,AZ,"16203 N Scottsdale Rd, Scottsdale, AZ 85254",30,2.81
61,ewZlgc22xN5NNQ1H7U6Y7g,The Cheesecake Factory,AZ,"15230 N Scottsdale Rd, Scottsdale, AZ 85254",121,3.42
62,-fsCfTYEnJ4s6yStgBnQig,Farrelli's Cinema Supper Club,AZ,"14202 N Scottsdale Rd, Scottsdale, AZ 85254",46,3.8
63,d840tbYJSVn8Fu-n5XRJTw,Handlebar-J,AZ,"7116 E Becker Ln, Scottsdale, AZ 85254",51,3.43
64,pQAIM21Yw4eNdbha2Rxkcg,The Melting Pot,AZ,"8260 N Hayden Rd, Scottsdale, AZ 85258",118,3.66
65,E5dqlvxPw9Q4XFqOMw_lqw,Dragonfly Cafe,AZ,"10135 E Via Linda, Scottsdale, AZ 85258",70,4.06
66,iqVDfE7XknJ6kDIoepT_xQ,Village Inn Restaurants,AZ,"10652 N 89th Pl., Scottsdale, AZ 85260",8,3.33
67,QVR7dsvBeg8xFt9B-vd1BA,K'O Donnell's Sports Bar & Grill,AZ,"14850 N Northsight Blvd, Scottsdale, AZ 85260",136,3.86
68,iA5_BIxzVc6KBg1YcFy9sg,Wildflower Bread Company,AZ,"7755 E Gray Rd, Scottsdale, AZ 85260",4,4.75
69,LzNJLEIo4gh-X_rmDkNkNg,Four Peaks Grill & Tap,AZ,"15745 N Hayden Rd, Ste D5-7, Scottsdale, AZ 85260",306,4.05
70,n4mfUCDXHsg0GH50HzJpug,Rock Bottom Restaurant & Brewery,AZ,"8668 E Shea Blvd, Scottsdale, AZ 85260",24,3.26
71,74hGYtpaERi2FYKo5bP99Q,The Sets,AZ,"93 E Southern Ave, Tempe, AZ 85282",10,2.9
72,nzJxNn-tKG7kw_zf7xaYbg,Top of the Rock,AZ,"2000 W Westcourt Way, Tempe, AZ 85282",91,3.37
73,MXM30GZrf4AeqR5p6berkg,Baja Fresh N,AZ,"780 W Elliot Road, Tempe, AZ 85284",7,2.67
74,nVsABtNAvGoiMoSOEfjTzQ,John Henry's,AZ,"909 E Elliot Rd, Tempe, AZ 85284",11,2.4
75,8t8DFm9iJr30I3tNSaWkKQ,Village Inn,AZ,"1080 W Elliot Rd, Tempe, AZ 85284",3,1.67
76,Btmq4WdwevpVWTPjhzf1YQ,Teakwood Tavern and Grill - Gilbert,AZ,"151 E Williams Field Rd, Ste 112, Gilbert, AZ 85296",73,3.62
77,AoJUauqYx9rjBPouocdFjg,Jimbo's Bar & Grill,AZ,"12224 N 51st Ave, Glendale, AZ 85304",30,3.22
78,HKr_xfeyrv2Bh7urZsQEVA,Tony's Cocktail Lounge,AZ,"5930 W Greenway Rd, Glendale, AZ 85306",17,4.2
79,QyDYXJRz3b4f80qsMgpPFQ,Old Country Buffet,AZ,"17125 N 79th Ave, Glendale, AZ 85308",27,3.37
80,Tlp5G-slaW4XKRxhgjaCpA,TGI Friday's,AZ,"1559 N Litchfield Rd, Goodyear, AZ 85338",14,2.29
81,ifbMLSdB-VWs0wEN6UzBcQ,Wendy's Old Fashioned Hamburgers,AZ,"1178 N Litchfield Rd, Goodyear, AZ 85338",10,3.1
82,if_VgGCfq18P2Z24JdipSA,High Octane Lounge,AZ,"13420 W Bell Rd, Ste 140, Surprise, AZ 85374",6,2.0
83,KwoHV8oqC_aFHoZpbOM9XA,Fox Hound Smokehouse & Tavern,AZ,"8320 W Mariners Way, Peoria, AZ 85382",5,4.25
84,ADJIoHN3uLx-JalYl3r3Dw,The Cheesecake Factory,AZ,"16134 North 83rd Avenue, Peoria, AZ 85382",94,3.57
85,1eJ0pC6UrQVkDSflgrs0Fw,Elephant Bar Restaurant,AZ,"16160 No 83rd Ave, Peoria, AZ 85382",57,2.87
86,ltAPE16jLxC-BAnHhcI9CQ,Country Kitchen,AZ,"495 E Wickenburg Way, Wickenburg, AZ 85390",9,2.88
87,o-DRmVihuTjS3x9OXSj0tw,Shugrues Hillside Grill,AZ,"671 Hwy 179, Sedona, AZ 86326",88,3.65
88,oksXk_PEtYrWJJBGNhl5zw,Wok In Express,NV,"35 S Gibson Rd, Henderson, NV 89012",10,3.75
89,uQ9l0maZVCwD4mRo2rFekQ,Brando's Grill & Bar,NV,"2801 N Green Valley Pkwy, Henderson, NV 89014",8,3.71
90,2lCxj6koowOOZ2pCdDUtZQ,Santora's,NV,"4401 E Sunset Rd, Henderson, NV 89014",11,3.6
91,alhRQfPmIsn9Yr0HlbWFeA,Jack In the Box 7250,NV,"3260 Losee Rd, North Las Vegas, NV 89030",3,2.67
92,2XQzbeFSKuhOiJujH01o-g,Town Center Lounge II,NV,"2992 W Cheyenne Ave, North Las Vegas, NV 89032",6,2.83
93,DfNoB509sMpMbu-qvsgvrA,Chili's Grill & Bar,NV,"10080 S Eastern Ave, Anthem, Henderson, NV 89052",38,3.03
94,VCy6IWtJ-SR6hY9xrmfF_Q,Black Mountain Grill,NV,"11021 S Eastern Ave, Anthem, Henderson, NV 89052",74,3.41
95,IALHPP1RDtpXV9KnUM0EQQ,PT's,NV,"4604 W Sahara Ave, Suite #10, Westside, Las Vegas, NV 89102",13,4.0
96,a_qTdBz81-tgsd3UGmaT5Q,Skinny Dugan's Pub,NV,"4127 W Charleston Blvd, Westside, Las Vegas, NV 89102",15,4.0
97,Xo7K1LugLnT4pGc5TtwHRA,TGI Friday's,NV,"4570 W Sahara Ave, Westside, Las Vegas, NV 89102",46,2.77
98,dH3rJa4JSxmlyAwg8kPLOQ,Denny's,NV,"1826 Las Vegas Blvd S, The Strip, Las Vegas, NV 89104",27,2.76
99,xNyTjXh2FRuT4Z8Ncj9WhA,PT's,NV,"2280 S Nellis Blvd, Sunrise, Las Vegas, NV 89104",3,1.67
100,a9Z5KKEDaC4Y4MHiRZhzzA,PT's,NV,"5355 S Decatur Blvd, Las Vegas, NV 89118",12,3.89
101,NNSDXtjgNUNAgQH99R0yWw,PT's,NV,"3470 E Sunset Rd, Southeast, Las Vegas, NV 89120",11,2.78
102,56Ulj9IFRp5Pz8ufJSHXBg,PT's,NV,"8584 W Lake Mead Blvd, Summerlin, Las Vegas, NV 89128",5,3.75
103,P1BK2ke-N4XLsBSNWpSeLQ,Baba's Tsi-bugan Restaurant,NV,"4588 N Rancho Dr, Ste 7, Northwest, Las Vegas, NV 89130",21,4.0
104,KJnVuzpveyDrHARVNZaYVg,Hooters Casino Hotel,NV,"115 E Tropicana Ave, Southeast, Las Vegas, NV 89109",690,2.51
105,nV79jhp3QzgSwV49bRTxiA,PT's,NV,"6055 E Lake Mead Blvd, Sunrise, Las Vegas, NV 89156",5,3.4
106,y93QKoRHJmaBL-x_OkNuyg,Draft House Bar & Restaurant,WI,"1010 Enterprise Dr, Verona, WI 53593",22,3.16
107,pS5WsUlWOVAPM0S2rVI-SQ,Vintage Spirits & Grill,WI,"529 University Ave, Capitol, Madison, WI 53703",31,3.79
108,oGE8GPmBvHXQskP-m2cdLw,L'Etoile,WI,"1 S Pinckney St, Capitol, Madison, WI 53703",140,4.45
109,s4Juaxp_7gziJj1DXr2JGg,Madison Club,WI,"5 E Wilson St, Capitol, Madison, WI 53703",9,4.11
110,2vsPceME9rHNZ9OkR5zrpg,The Paradise Lounge,WI,"119 W Main St, Capitol, Madison, WI 53703",40,4.14
111,upKjWj5qf-wcZOgf-4XKIQ,Kennedy Manor Dining Room & Bar,WI,"1 Langdon St, Ste 103, Capitol, Madison, WI 53703",9,4.12
112,_z9UrC5hCTBK1JIgQD0YDw,Noodles & Company,WI,"232 State St, Capitol, Madison, WI 53703",34,3.68
113,v5mjUyUZeWfLTdxXfZYKMg,Bon Appetit Cafe,WI,"805 Williamson St, Williamson - Marquette, Madison, WI 53703",17,3.4
114,omWFwLRqI3VTcM46L8-qaA,Noodles & Company,WI,"3600 University Ave, Madison, WI 53705",6,3.0
115,Ihd6mI4cfXzIwcMSXZnhnA,Tony Frank's Tavern,WI,"1612 Seminole Hwy, Madison, WI 53711",18,3.58
116,ZusZ0l8gBpLvvYcTkuvRgw,Applebee's Neighborhood Grill & Bar,WI,"660 S Whitney Way, Madison, WI 53711",11,3.0
117,oZaCeojhVeBMvcjk_bFDag,Feiler's Food & Cocktails,WI,"4506 Verona Rd, Madison, WI 53711",8,3.75
118,n6cm_UuOgYnrMSgcc9DDwQ,Dry Bean,WI,"5264 Verona Rd, Fitchburg, WI 53711",5,2.2
119,5w-qVzxUOGEajm9eH3gEkA,Parkway Family Restaurant,WI,"1221 Ann St, Burr Oaks, Madison, WI 53713",8,4.0
120,xG7wiKZC0Yu_ZpZtnLC91Q,Chili's Grill & Bar,WI,"7301 Mineral Point Rd, Madison, WI 53717",16,2.86
121,ZZkubP-TCzbGuEOEzZno-A,Quivey's Grove,WI,"6261 Nesbitt Rd, Fitchburg, WI 53719",74,3.56
122,0ZcJhkUVGmBKEJJWwMK41w,Basie's,WI,"517 Grand Canyon Dr, Madison, WI 53719",8,4.0
123,PdRzCJWP7nPdYoHPdd5SOQ,Portland's Restaurant & Wine Bar,AZ,"105 W Portland St, Phoenix, AZ 85003",92,3.29
124,8SoWH_iOdZD1OvebCwJUbg,Dennys,AZ,"3456 W Bethany Home Rd, Phoenix, AZ 85017",14,2.46
125,X_F-3w3Z1omxWpItnWDH9g,Let's DO Lunch,AZ,"2510 W Dunlap Ave, Ste 160, Phoenix, AZ 85021",3,2.67
126,i98vDwJCbC4RHvDo0_XQuw,Dennys,AZ,"2525 W Deer Valley Rd, Phoenix, AZ 85027",8,2.0
127,NWtC07BxIqQp76kugbvynA,5 & Diner Deer Valley,AZ,"20216 N 27th Ave, Phoenix, AZ 85027",13,3.9
128,m3-p0XIYBQdR4VzbHpUpXQ,Genie G's,AZ,"7349 W Indian School Rd, Phoenix, AZ 85033",18,4.13
129,nU1xvCBFBVkahDrZSoN2Rw,Denny's Restaurant,AZ,"1401 N 75th Ave, Phoenix, AZ 85043",9,2.86
130,os_r5fCkmjeP980CLv20MQ,The Place,AZ,"10240 N 27th Ave, Phoenix, AZ 85051",12,2.92
131,w3auuIZmKCdk2UvQbonyMQ,Midwestern Meats,AZ,"4308 E Main St, Mesa, AZ 85205",60,3.7
132,0BScRHEa2lVBCY4spkhmvQ,Grille At Las Sendas Golf Club,AZ,"7555 E Eagle Crest Dr, Mesa, AZ 85207",11,3.62
133,Oif-dEqMVS3ee_p5ZhYyqA,Village Inn,AZ,"6813 E Main St, Mesa, AZ 85207",3,2.67
134,xkiVHfXb0QsuXp8HRzWWGw,First Round Draft,AZ,"1520 W Warner Rd, Ste 112, Gilbert, AZ 85233",27,2.44
135,faSdsW2s_SaVN0KTy-R2MQ,L'academie,AZ,"4301 N Scottsdale Rd, Scottsdale, AZ 85251",8,3.62
136,A8Khz3eeqIFFGaXurg3hxw,Rusty Spur Saloon,AZ,"7245 E Main St, Scottsdale, AZ 85251",92,3.96
137,24V8QQWO6VaVggHdxjQQ_A,Arcadia Farms Cafe,AZ,"7014 E 1st Ave, Scottsdale, AZ 85251",263,3.95
138,ssmiBFaHbH_k97GsuQCOIw,Furio,AZ,"7210 E 2nd St, Scottsdale, AZ 85251",39,3.92
139,FV0BkoGOd3Yu_eJnXY15ZA,Cowboy Ciao,AZ,"7133 E Stetson Dr, Ste 1, Scottsdale, AZ 85251",492,3.97
140,sYZt3f1YFlg0ycDMyO-vJw,The Blue Moose,AZ,"7373 E Scottsdale Mall, Scottsdale, AZ 85251",48,3.43
141,o4DsvwwD2kIbF-EM4r9G8A,Drift Lounge,AZ,"4341 N 75th St, Scottsdale, AZ 85251",58,3.57
142,aDBT5MB0L2JCUo3kqgFRJw,Karsen's Grill,AZ,"7246 E 1st St, Ste 101, Scottsdale, AZ 85251",64,4.28
143,z6vO1HR8L2iW4avr610XKw,The Grapevine,AZ,"4013 N Brown Ave, Scottsdale, AZ 85251",120,3.04
144,7QSYBp2-AOdyUJXEaLnbgA,Bandera,AZ,"3821 N Scottsdale Rd, Scottsdale, AZ 85251",302,4.08
145,AZAd_Zhv4UiJZ1x2FRPqIA,Pinon Grill,AZ,"7401 N Scottsdale Rd, Scottsdale, AZ 85253",15,2.5
146,BCsYkzqxGY_xmi5q_ayFDw,Rancho Pinot Grill,AZ,"6208 N Scottsdale Rd, Paradise Valley, AZ 85253",52,4.12
147,4qOPELunTvPQsmmnLDr4Jw,California Pizza Kitchen,AZ,"10100 Scottsdale Rd., Scottsdale, AZ 85253",32,3.23
148,2OY8xs4aqOt8eTnYokdrww,Elements,AZ,"5700 E McDonald Dr, Paradise Valley, AZ 85253",255,4.13
149,7lp13T_FUmX1XjU2wen_qw,Razz's Restaurant & Catering,AZ,"10315 N Scottsdale Rd, Scottsdale, AZ 85253",84,4.08
150,2JZv-P1lDKOPKvefQlYDEQ,Village Tavern,AZ,"The Shops At Gainey Village, 8787 N Scottsdale Rd, Scottsdale, AZ 85258",119,3.66
151,NkTBJP2YOwUAUNzRqR2gJg,Bistro Provence,AZ,"8900 E Pinnacle Peak Rd, Ste B1, Scottsdale, AZ 85255",18,3.79
152,dyd81TK9jY-WLt6UbMFWng,Atlas Bistro,AZ,"2515 N Scottsdale Rd, Ste 18, Scottsdale, AZ 85257",76,4.2
153,JokKtdXU7zXHcr20Lrk29A,Four Peaks Brewing Co,AZ,"1340 E 8th St, Ste 104, Tempe, AZ 85281",1110,4.31
154,jJ2aoxyQjUKYCwWOKO4uPw,Grilled Expedition On Mill Cafe,AZ,"740 S Mill Ave, Tempe, AZ 85281",5,3.2
155,TzImzfIWkZTnetKl2a4-SQ,Gordon Biersch Brewery Restaurant,AZ,"420 S Mill Ave, Ste 201, Tempe, AZ 85281",192,3.31
156,eGevCRobYnA_HSj60sEWvQ,Pita Jungle,AZ,"1250 E. Apache Blvd., Tempe, AZ 85281",323,4.02
157,7kAXbY8hjHhC-nZKR2Embg,ASU Karsten Golf Course,AZ,"1125 E Rio Salado Pkwy, Tempe, AZ 85281",25,4.27
158,EKzMHI1tip8rC1-ZAy64yg,House of Tricks,AZ,"114 E 7th St, Tempe, AZ 85281",419,4.04
159,iNT6pcUugoXsDlZgRTyhtw,Caffe Boa,AZ,"398 S Mill Ave, Tempe, AZ 85281",356,3.37
160,8VRTiv3IWanIf6W16KxHnw,Famous Sam's,AZ,"4343 W Glendale Ave, Glendale, AZ 85301",3,2.0
161,TehSM5JrMRikSnjnnfulbw,Tonto Bar & Grill,AZ,"5736 E Rancho Manana Blvd, Cave Creek, AZ 85331",90,3.92
162,txOMZiCpQwI4qydicluM3g,Dennys,AZ,"8737 W Grand Ave, Peoria, AZ 85345",4,4.75
163,rhN7xg5XzvRKvdAXE9lBtA,Q Bar and Grill,AZ,"6750 W Olive Ave, Ste 102, Peoria, AZ 85345",18,3.4
164,cyxnQ6EocFbAENe7nRwx4Q,Mercer's Restaurant,AZ,"9720 W Peoria Ave, Peoria, AZ 85345",18,3.67
165,dSKxZU3Puy77MUTMXwDlgQ,Tivoli Gardens,AZ,"12535 W Bell Rd, Surprise, AZ 85374",20,2.76
166,Cd6B3ErSmNwTjDlju_lU3g,Carefree Station,AZ,"Spanish Village, 7212 Ho Hum Rd, Carefree, AZ 85377",82,3.55
167,GoS_IBdFdjZrQ7J2LSrCMA,Wild Horse West,AZ,"8415 W Carefree Hwy, Peoria, AZ 85383",13,4.0
168,R13Yzsye39_1StxO0X1Flg,Campbell Mercantile Cafe,AZ,"9098 W Pinnacle Peak Rd, Peoria, AZ 85383",3,3.67
169,xh0bfPUpBejd81_CfDVKaQ,Medici Cafe and Terrace,NV,"Ravella Hotel, 1610 Lake Las Vegas Pkwy, Henderson, NV 89011",12,4.23
170,XOVw8WHTzCWjfyudwgAN9A,Como's Restaurant,NV,"10 Via Brianza, Henderson, NV 89011",3,3.67
171,CE85IKRDS4GimIaoIp3N5A,Rainbow Club & Casino,NV,"122 S Water St, Henderson, NV 89015",80,3.85
172,qiblsXkj0dEWtoaXx9tE9Q,Northstar Bar & Grill,NV,"5150 Camino Al Norte, North Las Vegas, NV 89031",10,4.1
173,smoGuW2a2Nume83mB3JJSw,Applebee's Neighborhood Grill & Bar,NV,"820 E Warm Springs Rd, Southeast, Las Vegas, NV 89119",28,1.93
174,Q5pTGQKEhxgit1fwgrHEbg,Binion's Hotel & Casino,NV,"128 Fremont St, Downtown, Las Vegas, NV 89101",117,3.34
175,kE7hkm4gn8dHvGFwqy6foQ,Second Street Grill,NV,"200 Fremont St, Downtown, Las Vegas, NV 89101",34,3.79
176,15JT2xhzP_R96mT6rK882A,La Bayou Casino,NV,"15 Fremont St, Downtown, Las Vegas, NV 89101",39,3.79
177,VRYTY0V7WZcP-yzv7bkllg,PT's,NV,"4825 W Flamingo Ave, Suite #3, Las Vegas, NV 89103",7,3.0
178,OvE1oiSg9gaB9cLGzBPlnw,Four Kegs Sports Bar,NV,"276 N Jones Blvd, Ste B, Las Vegas, NV 89107",243,3.8
179,QvRK2dyv4EDxuJ-LuodE2Q,Gordon Biersch Brewery Restaurant,NV,"3987 Paradise Rd, Eastside, Las Vegas, NV 89169",189,3.51
180,QJlab4DqvBRJPUfg7Vn5ZQ,Spago,NV,"The Forum Shops at Caesars, 3500 Las Vegas Blvd S, Ste G1, The Strip, Las Vegas, NV 89109",658,4.08
181,xBSQ3xs6qSIEr07WM4ho5A,Simon Kitchen and Bar,NV,"Hard Rock Hotel and Casino, 4455 Paradise Rd, The Strip, Las Vegas, NV 89109",14,3.92
182,9QSK3jux4ZOOfZGpNaDV0A,Mariposa,NV,"Neiman Marcus, 3200 Las Vegas Blvd S, The Strip, Las Vegas, NV 89109",5,4.4
183,76t_NE9GQthoryLZgDyxGg,Caribe Café,NV,"The Mirage, 3400 Las Vegas Blvd S, The Strip, Las Vegas, NV 89109",22,2.74
184,88CNSyeoKhGn1x0SHvz8Ig,Postrio,NV,"The Grand Canal Shoppes at The Venetian, 3377 Las Vegas Blvd S, Ste 2410, The Strip, Las Vegas, NV 89109",352,3.67
185,MWkIQNT5ewKwMfKbixgb6Q,California Pizza Kitchen,NV,"3200 Las Vegas Blvd, Sp#1590, The Strip, Las Vegas, NV 89109",76,3.65
186,8xH3A2heV5oIFn3EXu7AcA,Maverick Truck Stop,NV,"3225 Las Vegas Blvd N, Sunrise, Las Vegas, NV 89115",9,4.4
187,cvuqmLFFVCY6nJUYWuJxfA,Barcelona Restaurant,NV,"4385 N Nellis Blvd, Las Vegas, NV 89115",3,3.0
188,N8NiWbLzee9EOeMnz2MOlw,Claim Jumper,NV,"1100 S Fort Apache Rd, Westside, Las Vegas, NV 89117",118,3.11
189,_UsqOvmgoNzb_0xWpzwZBg,Chicago Brewing Company,NV,"2201 S Fort Apache Rd, Westside, Las Vegas, NV 89117",212,3.64
190,6P3SsceAMT39CBlo0upqHQ,Mad Matty's Bar & Grille,NV,"8100 W Sahara Ave, Westside, Las Vegas, NV 89117",20,3.67
191,wH8J9TI8ReocYZ3N2W04bw,Marie Callenders Restaurant & Bakery,NV,"8175 W Sahara Ave, Westside, Las Vegas, NV 89117",42,3.26
192,5FE1Y9cZ-YOQA943nTi7cA,Rosemary's Restaurant,NV,"8125 W Sahara Ave, Ste 110, Westside, Las Vegas, NV 89117",323,4.47
